Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
Pandemic,"10:29 AM · May 4, 2020",Matt Alexander@MattAle46832339·51m,"To fight #COVID-19 we need to work together to protect health systems, fund vaccines and save lives. @emmanuelmacron @elysee please release €€€ from  to @WHO @gavi and @CEPIvaccines to help beat this pandemic as soon as possible.",0,,,,#COVID,"@emmanuelmacron,@elysee,@WHO,@gavi,@CEPIvaccines",0,229
Pandemic,"10:26 AM · May 4, 2020",अंधेरी Matters@AndheriM·54m,Its Real Bad Decision by @OfficeofUT @CMOMaharashtra ... Big Pandemic Crisis ahead... No Care for People.. Just doing a bit for revenue..Quote TweetAarti Gaba@aartigaba2011 · 1hSocial distancing ? Wine shops open in Andheri Lokhandwala .. red zone .. all meaningless .. #unsafe #corona #COVIDー19 #cmomaharashtra . Was it necessary to open the wine shops ? Could we have not just kept it closed .. we will surely see numbers rising instead of falling !,0,,,,,"@OfficeofUT,@CMOMaharashtra",0,451
Pandemic,"10:22 AM · May 4, 2020",Zain Raza Jafri@zainrazajafri4·57m,"Students cannot prepare for Exams in such circumstances
Academies Colleges were closed due to pandemic
@Shafqat_Mahmood
#CallOffBoardExams or students will pressurized to #bycottexams1",0,1,,,"#CallOffBoardExams,#bycottexams",@Shafqat_Mahmood,0,184
Pandemic,"9:03 AM · May 4, 2020",Kailash Prajapat@Kailash01887037·2h,Delhi Chief minister shri @ArvindKejriwal @AamAadmiParty has given an advisory statement to lift the lockdown in this pandemic. Delhi have seen more than 4000 covid positive cases. Cm kejriwal is choosing Economy over delhi ctizens.#ShamelessKejriwal,0,,,,#ShamelessKejriwal,"@ArvindKejriwal,@AamAadmiParty",0,250
Pandemic,"8:55 AM · May 4, 2020",Florestan@Florest03648562·2h,Just listened to @Philmoorhouse76 YouTube on King’s new SAGE group. The danger of live discussion: media with little scientific knowledge will turn murky water into treacle. Not the way to generate pandemic advice. That’s why we pay the WHO. Welcome Pandora!  @SkyNews #COVID191,0,,1,,#COVID19,"@Philmoorhouse76,@SkyNews",0,278
Pandemic,"10:17 AM · May 4, 2020",Dr Gazanfar@abass_gazanfar·1h,"Thy wish the young recently recruited doctors, paramedics, young govt. employees to work & fight 24x7 with COVID19 pandemic but wil deny them of basic govt service rights using the hammer of SRO202. Plz revoke & gv  some relief & boost them amid crises.@JKgrievance @narendramodiQuote TweetBhat Zaieem@BhatZaieem · May 3#RevokeSRO202.J&K Youth is bearing this brutal policy from 5 years now.Why no body is listening our agony.Why discrimination with selected group 
 of employees. Plz relieve us from this bias.@PMOIndia @narendramodi @AsgarSamoon @AmitShah @RavinderBJPJK @BJP4JnK @dograjournalist1",0,,,1,,"@JKgrievance,@narendramodi",0,599
Pandemic,"10:17 AM · May 4, 2020",Dr. Zahid Iqbal@Ch_ZahidIqbal·1h,Islamophobia in India has been in years in making for years. #Coronavirus pandemic has just precipitated it. #IslamophobiaInIndia102,1,2,,10,"#Coronavirus,#IslamophobiaInIndia",,0,132
Pandemic,"8:46 AM · May 4, 2020",OmegaTaipan@OmegaTaipan·2h,Pandemic Ain&#039;t Stopping The Hustle: They Got A Whole Drive-Thru Strip Club Out Here!  - https://go.shr.lc/3fa2yrf via @Worldstar #WSHH #WORLDSTARThe Hustle Never Stops: They Got A Whole Drive-Thru Strip Club Out Here!View the video on WorldstarHipHopworldstarhiphop.com11,1,1,1,,"#WSHH,#WORLDSTAR",@Worldstar,3,276
Pandemic,"8:05 AM · May 4, 2020",Kishiperti@Kishiperti2·3h,"Respected Sir, @DrRPNishank 
I am a Student of Class 12 Science (CBSE) For academic session (2020-21)
Sir i am Feeling difficulty in Studies due to current Pandemic
I need Your Help To Get Updated Regarding what the board has Planned for upcoming exams
#EducationMinisterGoesLive",0,,,,#EducationMinisterGoesLive,@DrRPNishank,0,279
Pandemic,"7:58 AM · May 4, 2020",madisontompkins@madisontompki17·3h,"A few days ago my senator talked with some students from Goddard high school about This pandemic and the affects it has caused on the seniors , he really appreciated being able to sit and talk with all the students and get more view on everything happening @McCulleyGoPo @JerryMor",0,,,,,"@McCulleyGoPo,@JerryMor",0,280
Pandemic,"8:01 AM · May 4, 2020",CNN@CNN·3h,"After admitting US coronavirus deaths could hit 90,000, President Trump is bemoaning his own plight -- complaining that he has been treated worse by the press than Abraham Lincoln | Analysis by @stcollinsonLincoln got better press treatment, Trump claims, as he ups pandemic death estimateAfter admitting US coronavirus deaths could hit 90,000, President Donald Trump is bemoaning his own plight -- complaining that he has been treated worse by the press than Abraham Lincoln.edition.cnn.com328137461",1,461,328,137,,@stcollinson,2,500
Pandemic,"7:55 AM · May 4, 2020",madisontompkins@madisontompki17·3h,Many citizens in Kansas especially the ones who live in very rural areas do not have the correct access to internet or health care right now my senator does not think it’s right for these citizens to have to worry about these things during this pandemic @McCulleyGoPo @JerryMoran,0,,,,,"@McCulleyGoPo,@JerryMoran",0,279
Pandemic,"7:54 AM · May 4, 2020",oding⁸ nsfr@babiegulf·3h,"""we heard there would be a project after covid-19 ends, will there be surprise for the fans?""

m: definitely, it will be very cool
g: watch out for it 

OHMYGOD PLEASE LET THIS PANDEMIC END ALREADY  #ทําบุญทิพย์xMewGulf0:1111.1K viewsFrom Nungstoon 뚠 ,, 𝑮𝑼𝑳𝑭277555",1,555,,277,#ทําบุญทิพย์xMewGulf,,0,264
Pandemic,"7:35 AM · May 4, 2020",UN Women@UN_Women·3h,"Today, on the first day of #TeacherAppreciationWeek, we thank the teachers who are working hard to ensure students can continue their education throughout the #COVID19 pandemic. 392294",0,294,3,92,"#TeacherAppreciationWeek,#COVID19",,0,184
Pandemic,"6:05 AM · May 4, 2020",Tomthunkit™@TomthunkitsMind·5h,"MISOGYNISTIC, XENOPHOBIC, RACIST, IMPOTENT COWARD
Trump is continuing to attack women journalists of color through the pandemic  03
#VoteBlueNoMatterWho5:38146.6K viewsFrom NowThis1412",1,12,,14,#VoteBlueNoMatterWho,,0,184
Pandemic,"6:04 AM · May 4, 2020",Faisal Javed Khan@FaisalJavedKhan·5h,"PM Khan held a #TeleConvo with PM @JustinTrudeau They discussed thr respective efforts to fight pandemic & protect health, safety & economic well-being of thr citizens. PM Trudeau thanked Khan for Pak ongoing help to repatriate Canadians seeking to return home during this crisis242271.9K",1,1.9K,24,227,#TeleConvo,@JustinTrudeau,0,288
Pandemic,"6:01 AM · May 4, 2020", YOUNG  MONEY @paschal2k2·5h,"This pandemic is a great learning opportunity

A job is not financial security

You need at LEAST 12 months of living expenses in ur emergency fund

Less debt = less risk

Investment income is not guaranteed

Multiple revenue streams = less risk
#mondaythoughts #MondayMotivation11146144",0,144,11,146,"#mondaythoughts,#MondayMotivation",,0,287
Pandemic,"5:57 AM · May 4, 2020",The Knowledge Reaper@ReaperKnowledge·5h,In this era of pandemic there will definitely be an end but that end will be a start of new life and new world wherein we will be ready to deal with such challenges with more vigour #Covid_19india #COVID2019 @ArtofLiving @SriSri22,1,2,,2,"#Covid_19india,#COVID2019","@ArtofLiving,@SriSri",0,230
Pandemic,"7:30 AM · May 4, 2020",Views from Nowhere@ViewsFrmNowhere·3h,"Stunning and disgraceful admission from Defence Secretary Ben Wallace -

That BAE Systems have continued to manufacture weapons of war - Typhoons and F35s - during the pandemic.

Why let a pandemic get in the way of the mass death industry?

#r4today52643",0,43,5,26,#r4today,,0,255
Pandemic,"7:00 AM · May 4, 2020",AbdulAwal Raja@AbdulawalRaja·4h,"#FreeSayedee
#SaveSayedee

He is one of the gratest devoted person of Islam. He has been pinched last ten years with fault case Against him, amid coronavirus pandemic we the supporter of islam and Sayedee we want Justice for him to keep peace with gratifying mind.1712",1,12,1,7,"#FreeSayedee,#SaveSayedee",,0,268
Pandemic,"6:49 AM · May 4, 2020",sudipta paul@rocksrajababu·4h,"Is liquor the essential product in this pandemic situationspecially in the Red Zone  
@PIBHomeAffairs @MoHFW_INDIA @PMOIndia",0,,,,,"@PIBHomeAffairs,@MoHFW_INDIA,@PMOIndia",0,124
Pandemic,"6:36 AM · May 4, 2020",Shehroj Saiyed@shehroj_saiyed·4h,"had to deposit money in a/c in emergency, But came to know that Cash deposit machine of SBI palanpur (IFSC:SBIN0000443)has been not working for a week.
had to wait in line for an hour. assure abt services in this pandemic.
@TheOfficialSBI
@CMOGuj",0,,,,,"@TheOfficialSBI,@CMOGuj",0,246
Pandemic,"6:24 AM · May 4, 2020",Lesedi Molebatsi@LesediMolebats4·4h,"To fight #COVID-19 we need to work together to protect health systems, fund vaccines and save lives. @emmanuelmacron @elysee please release €€€ from  to @WHO @gavi and @CEPIvaccines to help beat this pandemic as soon as possible.",0,,,,#COVID,"@emmanuelmacron,@elysee,@WHO,@gavi,@CEPIvaccines",0,229
Pandemic,"6:10 AM · May 4, 2020",J.J. Besa @jjvbesa·5h,"In imposing work and school requirements, may we all consider the “pandemic factor”.

Aside from glaring inequalities on resources and family responsibilities, some may not be mentally healthy to quickly cope up with this pandemic. We are still humans after all. 848",0,48,,8,,,0,266
Pandemic,"5:08 AM · May 4, 2020",The New Yorker@NewYorker·6h,"“You don’t know anyone who has made as much money out of this as I have”: On the looming financial crisis, the tradeoffs between capital and human lives, and how Wall Street plans to profit from the coming collapse.The Price of the Coronavirus PandemicWhen COVID-19 recedes, it will leave behind a severe economic crisis. But, as always, some people will profit.newyorker.com12136256",1,256,12,136,,,2,383
Pandemic,"5:05 AM · May 4, 2020",The Daily Edge@TheDailyEdge·6h,"The @GOP just admitted #Trump knew in January that a Plague was coming, but failed to put the testing in place and now tens of thousands have died in a preventable pandemic. The death toll is 10X higher than it would Have been if social distancing started 2 weeks sooner.Quote TweetGOP@GOP · 10h.@realDonaldTrump has been working with American manufacturers to prepare for the coronavirus since January.
 
He has collaborated with private suppliers, health care purchasers, and the Commerce Department to ensure resources are going where they are needed.
#TrumpTownHall12195271",0,271,12,195,#Trump,@GOP,0,577
Pandemic,"5:04 AM · May 4, 2020",Anvisha@Anvisha67484605·6h,"What's wrong with the system and people of this country, in the time of pandemic people are gathered to buy booze in Sector-5 Rajendra nagar Sahibabad.  I think police should take some serious action towards them. @Uppolice @ipsnaithani",0,,,,,"@Uppolice,@ipsnaithani",0,236
Pandemic,"4:46 AM · May 4, 2020",The Church Of Satan@ChurchofSatan·6h,"Neither prayer nor fasting will help bring an end to the pandemic, no matter how many people get roped into it. We recommend listening to infectious disease experts, not religious leaders.Quote TweetCaptain Peaj@CaptainPeaj · 7hI hope @ChurchofSatan have been invited to join in too. 
Pope calls faithful to unite with believers of all religions for May 14 day of prayer

https://flip.it/FTLy6I304261.7K",0,1.7K,30,426,,,0,403
Pandemic,"4:39 AM · May 4, 2020",Gourav Chakraborty ‏‎@MutilatedDreams·6h,"Thali banging, diya lighting, giving religious color to a pandemic, all done just to hide the incompetence of the govt, while the poor migrants remained stranded with no income. @INCIndia stands by them & will pay their fares to reach home, truly it's #CongressForIndia14868",0,68,1,48,#CongressForIndia,@INCIndia,0,274
Pandemic,"4:33 AM · May 4, 2020",𝓛𝓲𝓷𝓭𝓵𝓮𝔂@grandlenz·6h,"@aldenrichards02 this pandemic is a test of humanity 
#RoadTo10WithALDEN
#AldenRichards1:33218 views2115",1,15,,21,"#RoadTo10WithALDEN,#AldenRichards",@aldenrichards02,0,104
Pandemic,"6:05 AM · May 4, 2020",Boernie von Berlin@BoernieB·5h,"To fight coronavirus, @WHO and @DrTedros urgently need at least USD $675 million in new funds. @francediplo @minsolisante please release €€€ from  to help beat this pandemic as soon as possible.",0,,,,,"@WHO,@DrTedros,@francediplo,@minsolisante",0,194
Pandemic,"5:54 AM · May 4, 2020",Diljit Singh@DjDiljit·5h,"Delhi people see what blunder you have done by choosing @ArvindKejriwal as your CM, this guy has no dignity and etiquette left.
He is more deadly than this pandemic.
#ShamelessKejriwal #KejriwalFailedDelhi
#मूर्ख_खुजलीवाल967113",1,113,9,67,"#ShamelessKejriwal,#KejriwalFailedDelhi,#मूर्ख_खुजलीवाल",@ArvindKejriwal,0,227
Pandemic,"4:37 AM · May 4, 2020",Harsh Goenka@hvgoenka·6h,"During this pandemic, kindness has overflown. Can't buy a mask, people make it for you. Don't have food, let me drop some off at your porch. Love is all around you.  People are exercising, eating healthy.  Let's make these habits in this world reset.
#mondaythoughts3187631",0,631,31,87,#mondaythoughts,,0,273
Pandemic,"4:29 AM · May 4, 2020",Hoda Katebi هدی کاتبی@hodakatebi·6h,"if yall don't all become abolitionists during this pandemic....Quote TweetCBS News@CBSNews · May 1BREAKING: Federal prisons stripped nearly 4,000 inmates of their phone and email access as a way to fight coronavirus https://cbsn.ws/2z2gK4K2147664",0,664,2,147,,,0,246
Pandemic,"3:58 AM · May 4, 2020",Cary Elwes@Cary_Elwes·7h,"I’m no military expert but I know that  to win any war u need an effective supply chain 2 those on the front lines putting their lives at risk to save ours. It is clear in the war against this pandemic, that in this respect this administration has been a total failure.#getusppe302541.3K",1,1.3K,30,254,#getusppe,,0,287
Pandemic,"3:40 AM · May 4, 2020",Next Generation@ShtashTech·7h,Where is Ruto during this pandemic? hiding? Don’t the poor church members need him? Will he start donations after coronavirus again? #RutoThePretender2034101,1,101,20,34,#RutoThePretender,,0,157
Pandemic,"3:40 AM · May 4, 2020",Shazia Siddique MD MS@ShaziaMSiddique·7h,Lifting the lockdown doesn’t mean the pandemic is over. It means we have room in the ICU for you. #StayAtHome #COVID1911309609,0,609,11,309,"#StayAtHome,#COVID19",,0,126
Pandemic,"3:38 AM · May 4, 2020",elvin@kevolitoKE·7h,"During this corona pandemic twiiter dci ndo wanakuamsha ufanye kazi ambayo wananchi waliku elect ufanye... After all this is over ,just quit politics n go home.. Hatudai kuibiwa kenya... We have had enough... 
#RutoThePretender152",1,2,,15,#RutoThePretender,,0,230
Pandemic,"3:34 AM · May 4, 2020",Ankita Nanda@AnkitaN25585248·7h,"#EducationMinisterGoesLive 
Sir it's a request from we students to announce a particular date for neet... This current pandemic is really depressing for us..
@DrRPNishank
@DG_NTA1",0,1,,,#EducationMinisterGoesLive,"@DrRPNishank,@DG_NTA",0,179
Pandemic,"3:19 AM · May 4, 2020",Tom Gara@tomgara·8h,"Incredible Nassim Taleb quote here: ""“The state,” he told me, “should not smooth out your life, like a Lebanese mother, but should be there for intervention in negative times, like a rich Lebanese uncle.”The Pandemic Isn’t a Black Swan but a Portent of a More Fragile Global SystemNassim Nicholas Taleb coined the term “black swan.” He is frustrated whenever it is used to describe the coronavirus crisis.newyorker.com877261",1,261,8,77,,,2,424
Pandemic,"3:16 AM · May 4, 2020",Penny Pandemic@Julia_aless1·8h,What this week looking like 31987,0,87,3,19,,,0,33
Pandemic,"3:10 AM · May 4, 2020",Ahmed Patel@ahmedpatel·8h,"The near silence of the NHRC is surprising 

Two major human rights abuses have occurred during this pandemic & we are yet to hear from this constitutional body 

1) Forced exodus of poor migrants on foot

2) Stigmatisation of a community contrary to WHO guidelines304711.8K",0,1.8K,30,471,,,0,274
Pandemic,"3:10 AM · May 4, 2020",Rick Rhodes@RickRhodes01·8h,"When it comes to deadly disease, vaccines are our best chance of protecting millions. @SpainMFA on May 4 will you help ensure no country has to face a pandemic alone by supporting @gavi to strengthen vaccine delivery systems across the world? Let’s #DefeatDiseaseTogether",0,,,,#DefeatDiseaseTogether,"@SpainMFA,@gavi",0,271
Pandemic,"3:09 AM · May 4, 2020",Scamwatch_gov_au@Scamwatch_gov·8h,"It’s Privacy Awareness Week! Are you spending more time online since the COVID-19 pandemic? Remember to be careful with the information you share, scammers will try to take advantage of you. During the week we’ll be posting tips on how to protect your privacy #RebootYourPrivacy2323",1,23,,23,#RebootYourPrivacy,,0,282
Pandemic,"2:25 AM · May 4, 2020",Joshua Potash@JoshuaPotash·8h,"New Zealand reported 0 new COVID cases today, for the first time since the pandemic hit.

The U.S. reported 25,881.468041.9K",0,1.9K,46,804,,,0,124
Pandemic,"2:21 AM · May 4, 2020",Joe Lockhart@joelockhart·8h,"If you're not watching @jaketapper special on CNN right now on the pandemic timeline, stop what you're doing and turn it on.68187852",0,852,68,187,,@jaketapper,0,132
Pandemic,"2:20 AM · May 4, 2020",Random Alerts@Richard_Rangel_·9h,"#China had a natural disaster / pandemic clause in the phase 1 deal.  

Good luck with that. 

$SPY $DIA $IWM $QQQQuote TweetFirst Squawk@FirstSquawk · 10hU.S PRESIDENT TRUMP SAYS IF CHINA DOES NOT BUY U.S GOOD, U.S WILL END THE TRADE DEALShow this thread2",0,2,,,#China,,0,256
Pandemic,"2:13 AM · May 4, 2020",Jessi Davin@jessithebuckeye·9h,John Cena is still out here granting his Make-A-Wish requests in the middle of a pandemic. 262631.4K,0,1.4K,26,263,,,0,100
Pandemic,"2:11 AM · May 4, 2020",Daniel Dale@ddale8·9h,"Some of the people and things Trump made false or misleading claims about tonight:

Fauci
Biden
Obama/AIDS
His travel restrictions and testing
Hydroxychloroquine
The pandemic trendlines
Ammunition
Trade with China
Trade with Japan
NATO
His rally crowds3011.8K5.7K",0,5.7K,301,1.8K,,,0,263
Pandemic,"2:00 AM · May 4, 2020",The New York Times@nytimes·9h,"Crying on the job used to be considered a liability. But during the coronavirus pandemic, the rules of crying in public are changing. “I think I’d be worried about anyone who hasn’t teared up in the last month,” said CNN’s Brian Stelter.Leaders Are Crying on the Job. Maybe That’s a Good Thing.Politicians. Chief executives. Newscasters. In the pandemic, the old rules of who is allowed to cry in public are changing.nytimes.com91162905",1,905,91,162,,,2,436
Pandemic,"2:45 AM · May 4, 2020",Cindy@cindy_poy·8h,"When it comes to deadly disease, vaccines are our best chance of protecting millions. @SpainMFA on May 4 will you help ensure no country has to face a pandemic alone by supporting @gavi to strengthen vaccine delivery systems across the world? Let’s #DefeatDiseaseTogether",0,,,,#DefeatDiseaseTogether,"@SpainMFA,@gavi",0,271
Pandemic,"1:55 AM · May 4, 2020",Mark F@datcrustybread·9h,"This pandemic is really taking a toll on everyone. You can really see it walking around Seattle; a lot more people struggling on the street, I’ve seen cops chase down a guy, i had to tell a guy to stop following me. Sad, sorry state!  #seattleisdying @MayorJenny @CityofSeattle1",0,,1,,#seattleisdying,"@MayorJenny,@CityofSeattle",0,278
Pandemic,"1:54 AM · May 4, 2020",Noah Pollak@NoahPollak·9h,"How bad is Wuhan virus in Iran? This bad:Iran Cancels Annual Anti-Israel ‘Quds Day’ Rallies Due to Coronavirus PandemicIran will not hold its annual “Quds Day” rallies calling for Israel’s annihilation this year, due to the ongoing coronavirus…algemeiner.com634611.9K",1,1.9K,63,461,,,2,267
Pandemic,"1:51 AM · May 4, 2020",reuben lyimo@reuben_lyimo·9h,well #AlexJones here are choices in human meat cuts take your pick.  im sure you will find some juicy tender cuts for a nice sunday roast dinner during the #COVIDー19 pandemic.1,1,1,,,"#AlexJones,#COVIDー19",,0,176
Pandemic,"1:44 AM · May 4, 2020",Brooks Kimbrell@BrooksKimbrell·9h,Drowning out the pandemic and drama in the world with your amazing game! THANK YOU @OfficialMWbeta @InfinityWard #KSUCom,0,,,,#KSUCom,"@OfficialMWbeta,@InfinityWard",0,120
